Time,Vel_X,Vel_Y,Vel_Z,Total
89.263000,-0.001563,0.061259,-0.074761,0.096667
89.482000,0.009718,0.048038,-0.083321,0.096667
89.704000,0.011930,0.041181,-0.086638,0.096667
89.922000,0.007805,0.035747,-0.089474,0.096667
90.139000,0.017390,0.023297,-0.092192,0.096667
90.353000,0.003915,0.028541,-0.092274,0.096667
90.562000,0.008418,0.028713,-0.091919,0.096667
90.772000,0.007060,0.046755,-0.084312,0.096667
90.997000,0.020368,0.063675,-0.069821,0.096667
91.217000,0.049072,0.075663,-0.034806,0.096667
91.438000,-0.013215,-0.087357,-0.039225,0.096667
91.655000,0.064964,0.003132,0.071514,0.096667
91.862000,-0.020105,0.021262,-0.092131,0.096667
92.084000,-0.007710,0.014841,-0.095209,0.096667
92.301000,0.002038,0.030322,-0.091765,0.096667
92.520000,0.011420,0.078324,-0.055493,0.096667
92.730000,0.001124,0.053397,0.080573,0.096667
92.946000,-0.007423,0.016993,0.094871,0.096667
93.165000,-0.007161,0.006320,0.096194,0.096667
93.385000,-0.006047,0.002367,0.096448,0.096667
93.592000,-0.002282,0.003517,0.096576,0.096667
93.808000,0.001174,0.001942,0.096640,0.096667
94.022000,0.013732,-0.001137,0.095680,0.096667
94.247000,0.029263,-0.013867,0.091081,0.096667
94.465000,0.038684,-0.046837,-0.075195,0.096667
94.684000,0.017125,0.004521,-0.095030,0.096667
94.898000,0.009259,0.000611,-0.096220,0.096667
95.110000,-0.004299,0.002130,-0.096547,0.096667
95.334000,-0.014258,0.015839,-0.094288,0.096667
95.552000,-0.014373,0.052166,-0.080104,0.096667
95.768000,0.009516,0.034104,-0.089949,0.096667
95.984000,0.023527,0.013110,-0.092839,0.096667
96.197000,0.019711,0.050710,0.072282,0.090470
96.416000,-0.000703,0.028098,0.092490,0.096667
96.633000,0.008228,0.034361,0.089978,0.096667
96.850000,0.009400,0.049637,0.019102,0.054010
97.063000,-0.000269,0.046832,-0.008205,0.047546
97.283000,0.004294,0.078985,0.055565,0.096667
97.502000,-0.017094,0.061019,-0.020333,0.066550
97.718000,-0.056844,0.059408,-0.050832,0.096667
97.937000,-0.065820,0.026344,-0.065713,0.096667
98.150000,-0.042607,0.070022,-0.038587,0.090595
98.370000,-0.060271,0.000846,-0.075572,0.096667
98.580000,-0.055701,0.007665,-0.078633,0.096667
98.798000,-0.048411,0.009319,-0.083150,0.096667
